body,size
10612,3650936162
10497,3649067955
10620,3645692496
10622,3644428455
10616,3644076485
10614,3641923239
10607,3639352156
10627,3638745034
10568,3636808220
10623,3634030847
10626,3632979750
10609,3631284968
10625,3628251039
10629,3620149312
10632,3618132075
10630,3617877351
10501,3616267346
10633,3615726317
10634,3613698916
10619,3613284809
10350,3613036267
10461,3612483052
10576,3608149365
10636,3605202827
10637,3597656063
10321,3595255693
100347,3595246136
10621,3594793358
10650,3593042083
10640,3591173425
10647,3587763075
10638,3586857454
10644,3580301664
10646,3572968627
10645,3570140937
10648,3569989543
10649,3568107634
10653,3565585451
10652,3557850880
10655,3556315969
10654,3554072246
10658,3550177035
10662,3550057099
10656,3548431313
10657,3548053657
10651,3546061444
10659,3543615663
10663,3542833027
10670,3536748601
101086,3535695172
10675,3531462505
10672,3526849869
10674,3526845872
10666,3525789326
10667,3523870608
10669,3523193940
10668,3522280559
10671,3521993598
10642,3518269128
10677,3516900046
10628,3514902857
10639,3514382219
10673,3512706839
10679,3507875631
10617,3507354193
10676,3500912467
10678,3494824443
10680,3494183210
10684,3493316213
10681,3491675342
10682,3490184878
10660,3488813837
10686,3483772674
10683,3482634248
10685,3479537198
10700,3475778756
10712,3474826837
10690,3472656878
10688,3472369663
10689,3471518691
10687,3469560312
10695,3468649050
10691,3467686537
10694,3467676305
10693,3465072824
10692,3462684646
10696,3460915348
10703,3460131735
10697,3457915616
10698,3456696915
10702,3456203964
10699,3454930840
10701,3454498057
101942,3452295803
10705,3451587575
10704,3449717392
10661,3443359269
10708,3442187771
10707,3441955511
10266,3438746870
10706,3435993687
10711,3434954734
10709,3432421424
10710,3427513577
10347,3427395580
10715,3424148192
10714,3418873065
10713,3418110216
10722,3416968445
10716,3413147242
10717,3408941412
10718,3407241783
10727,3406516416
10719,3406469186
10726,3401579015
10720,3400834423
10721,3400350274
10723,3400071497
10724,3398923752
10552,3395925466
10725,3394769459
10728,3392150018
10734,3381620793
10729,3379142080
10467,3376734348
10730,3375647086
10731,3371749803
10739,3370042899
10732,3369657381
10733,3369643365
101492,3362080891
10738,3359087792
10737,3359046702
10735,3357361601
10736,3355621038
10740,3353810022
10741,3352841235
10742,3349627746
10745,3343321279
10746,3338757564
10743,3338052725
10749,3336842220
10744,3336521983
10748,3336367556
10747,3333881768
10754,3332907778
10756,3329943915
10752,3326539018
10750,3324296783
10753,3323330028
10751,3322580535
10757,3321729491
10755,3321035957
10775,3319634399
10758,3316950476
10762,3311164990
10664,3310230381
10323,3304229000
10759,3302831036
10760,3302252116
10761,3298362814
10765,3294983706
10766,3294961254
10763,3294025538
10771,3293093668
10767,3290904366
10772,3290753773
10770,3290030698
10764,3289180792
10773,3286610575
10768,3286158846
10769,3282830349
10774,3281289298
10167,3280163274
10778,3277193065
10776,3276567573
10777,3272432978
10779,3270347808
10784,3267428148
10785,3267417631
10786,3266023654
10781,3265116427
10783,3264828453
100636,3262727347
10780,3262273773
10782,3257616882
10573,3252479302
10787,3250413666
10789,3247637722
10794,3245441717
10792,3244817775
10790,3242916798
10791,3239471731
10800,3238650755
10788,3238558923
10797,3234623299
10796,3231197146
10798,3229779205
10801,3228496409
10843,3227754678
10814,3227094712
10793,3225534488
10799,3225226829
10795,3225217024
10803,3224394311
10804,3221052496
