new_body,orig_body,size
10488,6295301863,3991927397
10489,841369736292,3986995058
10490,841369749817,3983146604
10491,4664380908,3980448859
10492,841369751135,3979984081
10493,55107023,3977480580
10494,26024432611,3976643538
10495,841369735909,3972402349
10496,2984113048,3968687588
10497,2595106680,3968022607
10498,6301589601,3967796681
10499,10765962323,3967494867
10500,9577148847,3961656167
10501,841369734422,3958443350
10502,9173918567,3957988488
10503,36768137224,3957631395
10504,8342666027,3954440497
10505,55028429,3952626904
10506,18594847993,3950070395
10507,22358826390,3947990996
10508,5053300163,3945341641
10509,8379181833,3945205538
10510,841369751682,3942377760
10511,5887886899,3936508264
10512,841369752086,3921824690
10513,146925848,3905706235
10514,841369735136,3904856800
10515,841369733726,3904754604
10516,8764770457,3900777367
10517,15655231744,3899257282
10518,9927718867,3895331259
10519,12036760113,3895193888
10520,19903359751,3892737216
10521,4660592791,3892697449
10522,23205244969,3883899572
10523,20713327817,3881815027
10524,841369733390,3879547848
10525,841369733316,3876173655
10526,3840285001,3870966768
10527,1724354857,3870074948
10528,19111063298,3867178856
10529,841369733326,3862232559
10530,35497013371,3858836228
10531,20664782878,3855166320
10532,7840963087,3854789886
10533,5467008795,3854639976
10534,841369749565,3849566063
10535,15290316400,3849448297
10536,3369706861,3844236492
10537,19936253490,3839416146
10538,11197266847,3830887401
10539,22278019077,3830279337
10540,7943784426,3829750068
10541,841369733264,3829008661
10542,143471631,3824368139
10543,25691352803,3823475279
10544,35865035913,3819166937
10545,5873708309,3816427711
10546,18573231915,3814181593
10547,20332531239,3811743231
10548,2495696958,3810271864
10549,5920084374,3809486358
10550,6255830951,3807419014
10551,841369733905,3804972899
10552,841369729937,3804385110
10553,841369735626,3799139946
10554,12065377343,3798077681
10555,23985706508,3797942685
10556,30201089990,3794043086
10557,35554413218,3792593549
10558,4668076761,3792058394
10559,841369748862,3788828097
10560,841369751612,3783190995
10561,3843185854,3773412128
10562,14898710518,3772460686
10563,5901964239,3771000003
10564,35550956644,3770448892
10565,3040754963,3770230925
10566,841369729890,3769217811
10567,5902003489,3768234813
10568,36368274698,3767740147
10569,6723691576,3767614517
10570,11222062018,3766542533
10571,9923902312,3765937729
10572,841369736388,3763200206
10573,3436299178,3757482692
10574,2598287305,3756921520
10575,841369751575,3747847544
10576,841369733370,3745664251
10577,9217264894,3745527525
10578,10820356816,3743532692
10579,10374190474,3742261147
10580,841369749313,3741518079
10581,18605615020,3729396285
10582,7932351542,3726379386
10583,5007312082,3717955600
10584,841369733979,3717816594
10585,3440064443,3710791569
10586,5099649009,3707127794
10587,6280522741,3704660685
10588,841369735070,3704241352
10589,841369751693,3703184795
10590,15698391971,3700981443
10591,24856215119,3700902070
10592,37127394087,3697649212
10593,13663204091,3696656262
10594,841369735036,3695895966
10595,841369733770,3693785902
10596,51530194,3688782477
10597,26908224446,3684454487
10598,15325655164,3683939501
10599,16528889196,3683417277
10600,9970875145,3683344288
10601,10338818679,3682658599
10602,6281384256,3682091365
10603,5859472933,3680544966
10604,26444529130,3674320895
10605,13656365950,3672986534
10606,12478832720,3672040737
10607,33109803321,3662209814
10608,36352833623,3661236619
10609,23575074812,3657548976
10610,5092347689,3656283252
10611,14124344498,3654048017
10612,19921153252,3647289133
10613,35094327916,3644396009
10614,18198167096,3641757927
10615,841369734195,3641442174
10616,1689686375,3641250031
10617,6315658534,3638540709
10618,841369749847,3636885544
10619,7932627523,3634275050
10620,30495602874,3634166243
10621,24340008596,3633997091
10622,15361737570,3633395458
10623,9967341257,3631442192
10624,5081407694,3628234687
10625,13659943280,3628221959
10626,35558181629,3626863813
10627,35515567373,3625358047
10628,5845833896,3623891302
10629,29313951381,3620112368
