body,boxed_size,full_size
44172044026,166241,215901
43754619835,166116,216724
43758154193,164964,164964
43758112225,164783,164783
43758152226,164639,164639
43754581116,164401,164401
38441003233,163708,2194489756
43761650615,162487,162487
44168429881,161681,242431
43758112823,160981,160981
43347723071,158144,158150
43758118296,157452,157452
44168470084,157211,157211
44164974571,156143,169299
44164974593,153521,518372
43347801188,152443,216369
841369733083,151739,10289516908
43758154892,150737,413655
43761692472,150384,150384
43761650138,150359,150359
44172046785,148855,196692
43758154206,148776,210442
44172045135,146204,184717
44172011177,146040,146040
44164936679,145855,678854
44164934386,145644,207262
44172010136,144614,787526
43758156554,143047,143047
43351300704,143000,163426
43761651686,142971,153762
44168471876,142756,142756
44168511420,141507,155860
43758115229,141333,141333
43758112669,141256,141256
44168471733,141236,141236
44168507019,140799,201634
43761613194,140732,256587
43344191795,140421,397807
43758112730,140312,140312
43347763508,139173,139314
44172006778,138955,416832
44168472482,138534,138534
44172046794,136740,136740
44168467924,136486,136486
43351338096,135570,292384
44168472559,134774,138569
33909096781,134725,1218836086
43347763768,134712,134712
43758152277,134071,134071
841369733616,133174,1060149612
43761690680,133047,133047
43758119955,130587,130587
43754580892,130580,276516
44164932670,129930,455853
44172049422,129599,150762
34716674764,129244,1101141094
43351340491,129061,130717
43758153729,128967,128967
43351300799,128272,129874
43758116740,127677,127677
43351299175,126971,145477
43761611644,126970,152973
44164970419,126918,126920
43761692909,126670,147815
44168508245,126555,126555
44172005922,126526,126526
43758118479,126049,126049
43758118280,125712,125712
43758157497,125454,154944
43758154018,124712,124712
43351340765,124498,124498
43347763441,124094,162870
43761695406,123199,292021
44172011907,121976,129704
44164971875,121900,246160
43761650597,120160,174370
44168472346,120148,120148
43761692807,120107,223879
44172049903,119952,267514
43761656204,119762,124197
43351340190,119494,121389
43758114337,119076,119076
43347801789,117868,140701
43761655586,117164,117164
44168467170,117012,117012
43758119980,116995,117237
575408279485,116636,150858
44168507629,115750,115750
43761652592,115633,115633
44168467547,114999,114999
43758119159,114682,114682
43347763489,114422,115043
43758077563,114165,114165
43758080358,113733,113733
43758119201,113720,113720
43761732460,113427,1046140
44168512384,113239,142287
43347719535,113228,218008
43758115654,112411,112411
43761652919,111307,656916
44168473426,111232,111232
43351300982,110613,110613
43758152969,110391,110391
43761655212,110228,110228
44172006005,110176,110176
43761649856,109527,142113
43758079146,109365,125726
43758116361,108912,108912
44168471667,108768,108768
36392808351,108745,2107886605
43761695783,108741,108741
43347762808,108702,765713
43758112226,108619,108619
44164934641,108013,108013
43761651927,107435,107435
44168507783,107379,107379
43758115358,106908,106908
43758115703,106244,106244
35161974083,105455,507961105
43754541683,105301,110204
43758153045,105050,105050
44172011659,104884,689392
44168512932,104417,117783
44168470818,103930,103930
43758155438,103793,103793
44168513572,102569,148580
44168509865,102547,132460
44164973383,102295,110227
44172045653,102164,102164
43758115423,101198,101198
43351299537,100883,139950
43758154188,100639,100639
43758156154,99373,99373
44164973923,99244,151200
43758119516,98388,98388
44172004825,97947,97947
44168509317,97896,123955
43758117307,96578,96578
43758152119,96299,96299
43761695653,95823,95823
43758152337,95696,95696
44172047715,95614,105077
43351298880,95517,271214
43761690590,95406,101753
44171965756,95213,121830
43347803110,94809,116992
43758113097,94583,94583
43761656307,94461,94461
43754620049,94228,122105
44171968854,94002,94002
43761695163,93822,93822
43758118436,93810,93810
44171966164,93765,215830
43761652192,93700,93700
43754539570,93613,94075
42113039410,93196,221572823
43761613715,93043,98296
44164929921,92774,188593
44168472440,92349,92349
43758156930,92183,92183
44168471045,91820,91820
44172007551,91558,91558
44168430206,90982,90982
43761653731,90681,90681
43347762925,90445,113776
44164973716,90149,91628
44171968916,89654,89654
44168470720,89544,89544
44172008835,89337,90081
44168507014,88950,398141
43344190566,88805,276782
43758116992,88627,88627
44164971033,88502,91292
43758074624,88305,88305
43351298751,87717,116180
44172045958,87713,150016
43761690798,87693,87693
43761690863,87654,87654
42527012893,87355,1906583
43758078354,86161,116984
44172048391,85956,86040
43761654239,85819,85819
43761655862,85729,85729
44171966764,85711,96183
43761689360,85645,97824
44168510039,85118,85118
44164930688,84740,518584
43758112700,84604,84604
44168472926,84309,84957
43761652071,84239,84239
43758112976,83953,83953
43758151727,83733,83733
44171968028,83291,95973
43347801612,83015,385790
43761650531,81507,81507
43758112809,81396,81396
43754579724,81014,85991
44168472218,80750,80750
43761693475,80747,106839
44164897194,80478,142821
43344225770,79975,99774
43344307891,79961,729333
43758115104,79739,79739
43758117854,79731,79731
43758156727,79676,79676
44164974415,79541,394114
43351299674,79152,123086
43347762869,79112,92050
44168511139,79075,326334
43758118405,78731,78731
43761691985,78551,78551
42941066246,78257,9244887
43754579778,78219,83345
43761651867,77942,84324
44168467662,77781,77781
44168471613,77750,77750
43761690149,77732,77732
44164973345,77621,77621
44168512923,77577,114945
44168468800,77518,77518
43344266094,77495,88003
43761656207,77100,129061
43351339211,76586,96207
43761653538,76403,76403
43754580641,76133,76133
43758113616,76120,76120
44172008434,75868,75868
44172008308,75846,135153
44168428492,75627,75627
43761693012,75038,75038
43758152418,75031,75031
44168506267,74534,74534
44168513486,74292,316092
43761613645,73972,158629
43347800669,73772,320017
44164970123,73643,633658
44168507099,73235,73235
43761651497,73218,73218
43758156963,72603,72603
43758153130,72042,72042
44168511157,71994,224548
40882132993,71983,246190279
43758157543,71783,90585
43758151647,71592,71592
43761656549,71382,71382
43761654375,70824,73254
44168471033,70760,70760
43761695343,70623,77900
43761693644,69901,69901
43758116911,69786,69786
43761655075,69486,69486
43761654337,69191,69191
43347803234,68974,69185
43351340087,68648,73093
44168467505,68561,68561
44168512663,68085,78478
43758156648,67626,125868
43758116306,67159,67159
43754541067,67099,133229
43761613739,66903,66903
44172044677,66897,77096
43758152107,66845,70245
43754574972,66790,66790
43761653919,66724,78982
43761692788,66580,66580
43754576414,66474,66474
44168473108,66200,66200
43761695923,66078,277588
43761650753,65887,175369
44172007455,65261,65261
43754579378,65059,65059
43758119425,64978,64978
43754578880,64960,360969
43758156362,64860,64860
43758115434,64833,64833
44172046541,64818,64818
43758077273,64716,64716
44168511012,64661,76329
44172046011,64529,64529
44172045155,64118,64118
43761692017,63930,78451
44172011545,63919,82496
43758112270,63786,63786
44172045998,63386,213688
44168509567,63325,63325
43758155750,63018,63018
43758113961,63005,63005
43758075100,62869,63067
44164895104,62618,62627
44164930451,62616,105846
44168469395,62552,62552
44172004832,62543,62543
44172051038,62397,102788
43758154967,62188,62188
44172007034,62145,62145
44168473274,62128,62128
43351299657,61994,78866
44168513334,61965,61965
44168509672,61862,61862
43761650893,61612,61612
44168471690,61442,61442
43758112739,61236,61236
43344147441,61035,1566966
44164974027,61021,147189
44172044459,60976,60976
44172008536,60845,60845
44168510070,60823,60823
44164973775,60618,60618
44168473152,60459,181394
43761695248,60321,60321
44168471426,60160,60160
36775023132,60159,2120559131
43758117784,60053,60053
43761650207,59855,59855
43347762896,59727,76116
44172049953,59633,59633
44168512833,59583,59583
44168508430,59360,59360
43758077646,59258,67573
44172045481,59213,59213
43761651407,59188,132813
43347763561,58741,58741
44172006786,58477,119347
43758073875,58312,85604
44171968790,58302,413209
43758114835,58248,58248
43761690547,58092,58092
43758114517,58068,58068
44172048857,58066,58066
43761650935,57829,57829
841369747387,57766,515616343
43761650291,57733,57733
43758156008,57675,57675
43758155085,57648,75651
43761652703,57122,57122
43758112768,57074,57074
44171965826,56968,56968
44168511371,56949,120452
43758116627,56789,56789
44172011132,56767,989100
43758118870,56765,56765
43758115188,56763,56763
43761694507,56592,58371
44164931750,56426,56426
43761693704,56296,56296
43758155636,56248,56248
43758155866,56208,56208
44172011054,56198,56516
43758080068,56082,56082
44168429813,55986,74837
44172047640,55904,55904
43758115912,55806,55806
43758153673,55741,55741
43758117537,55647,55647
44172044248,55506,55506
43758151871,55493,55493
841369733840,55362,1878726773
44168468321,55338,55338
44168472484,55206,78002
43347763320,55113,56478
43347803216,54927,55087
43758112300,54896,54896
44172010463,54882,272107
43754581909,54798,54798
44164935625,54581,58876
44168469868,54391,54391
43761651244,54355,54355
44171966280,54262,54262
44164972968,54163,117092
43758114689,54056,54056
43347802761,54011,62308
43758114144,53866,53866
43758117279,53849,53849
43758113459,53647,53647
44164932532,53547,146866
44172049055,53455,53455
43761656059,53255,125506
43761649806,53124,53124
43758115131,52867,52867
44168472334,52851,52851
43761650126,52803,52803
44164973622,52571,53427
43761694944,52466,52466
44168468532,52297,52297
44164972720,51932,51932
44172007702,51794,51794
43761694186,51792,150130
44168467376,51666,51666
43758156367,51497,51497
44171969190,51369,51369
44172005079,51251,56008
43758153340,51064,51064
44164969906,50892,78662
44168512599,50815,50815
44168469463,50637,50637
43761692739,50623,50623
44172011592,50602,118472
43758152201,50599,50599
44172047672,50487,95162
44168468849,50321,50321
44172009930,50282,50282
44172046361,50246,50246
44172006952,50233,50233
44172008851,50078,50078
43761691934,49726,49726
44168473039,49589,65054
43344226362,49298,120860
43758113789,49290,49290
43761689120,49286,71555
43761652531,49285,49285
43758112610,49244,49244
44168473382,49058,86201
43758073807,49034,49034
44168472624,49011,49011
43754574791,48855,146508
44172005359,48796,48796
43761650269,48791,48791
43754580563,48772,60894
43758119943,48604,48604
44172007113,48280,48280
43758117863,48167,48167
44168471492,47895,47895
44164969014,47800,176929
44172048151,47730,548542
43758080018,47590,47590
43761651419,47556,47556
43761695348,47513,47513
43761693654,47402,112492
43758113454,47392,47392
43754577416,47386,47386
43761652534,47243,65391
44168473120,47208,55885
44168509718,46804,46804
44172048819,46786,99650
43758112915,46772,46772
43758116381,46731,46731
43758153480,46581,46581
43758116451,46574,46574
44172005878,46529,46529
43347800893,46283,76389
43754616711,46224,46224
44172008099,46169,46169
43351340377,46102,46479
44168507286,46090,46090
44172043857,46063,46063
44168467994,45910,45910
